prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
17615,83190020,Cardicor 5mg tablets (Merck Serono Ltd),Bisoprolol fumarate,5mg,Tablet,Oral,02040000/02050000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
61573,30311020,Atenolol 25mg/5ml oral solution,,,,,2040000,Beta-adrenoceptor Blocking Drugs
40167,54126020,Metoprolol 100mg tablets (IVAX Pharmaceuticals UK Ltd),Metoprolol tartrate,100mg,Tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
55949,20600020,Propranolol 40mg/5ml oral solution,Propranolol hydrochloride,8mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
63422,47121020,Carvedilol 12.5mg tablets (Waymade Healthcare Plc),Carvedilol,12.5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
52611,31454020,Bisoprolol 10mg/5ml oral solution,,,,,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
47107,567021,Carvedilol 5mg/5ml oral suspension,Carvedilol,1mg/1ml,Oral suspension,Oral,2040000,Beta-adrenoceptor Blocking Drugs
10716,54539020,Corgard 80mg tablets (Sanofi),Nadolol,80mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34509,60551020,Metoprolol 100mg tablets (Mylan Ltd),Metoprolol tartrate,100mg,Tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
34501,67708020,Carvedilol 12.5mg tablets (Actavis UK Ltd),Carvedilol,12.5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34177,49922020,Labetalol 100mg tablets (A A H Pharmaceuticals Ltd),Labetalol hydrochloride,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
58297,918020,Propranolol 10mg tablets (Kent Pharmaceuticals Ltd),Propranolol hydrochloride,10mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
29762,63850020,Mepranix 50mg Tablet (Ashbourne Pharmaceuticals Ltd),Metoprolol tartrate,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
31776,63160020,Propranolol 40mg tablets (Mylan Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
45877,99275020,Beta-Prograne 160mg modified-release capsules (Teva UK Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
53826,1006020,Atenolol 25mg tablets (Boston Healthcare Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
18414,72241020,Eucardic 12.5mg tablets (Roche Products Ltd),Carvedilol,12.5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
3748,59365020,Oxprenolol 160mg Tablet,Oxprenolol Hydrochloride,160mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
1048,54495020,Inderal 80mg tablets (AstraZeneca UK Ltd),Propranolol hydrochloride,80mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
4542,68847020,Atenolol 50mg / Nifedipine 20mg modified-release capsules,Atenolol/Nifedipine,50mg + 20mg,Modified-release capsule,Oral,02040000/02060200,Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers
34783,50422020,Propranolol 10mg tablets (Actavis UK Ltd),Propranolol hydrochloride,10mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
33909,90617020,Congescor 1.25mg tablets (Tillomed Laboratories Ltd),Bisoprolol fumarate,1.25mg,Tablet,Oral,02040000/02050000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
19178,62996020,Bisoprolol 10mg tablets (Ranbaxy (UK) Ltd),Bisoprolol fumarate,10mg,Tablet,Oral,02040000/02050000/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction
34094,50072020,Metoprolol 50mg tablets (A A H Pharmaceuticals Ltd),Metoprolol tartrate,50mg,Tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
44858,56835020,Atenolol 25mg tablets (Actavis UK Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
48682,183020,Propranolol 50mg/5ml oral solution sugar free,Propranolol hydrochloride,10mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
51998,1011020,Atenolol 25mg tablets (Co-Pharma Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
7474,54884020,Trasicor 20mg Tablet (Novartis Pharmaceuticals UK Ltd),Oxprenolol hydrochloride,20mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
3167,59374020,Propranolol 160mg tablets,Propranolol hydrochloride,160mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
56240,40506020,Bisoprolol 3.75mg tablets (Sandoz Ltd),Bisoprolol fumarate,3.75mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
27357,49156020,Oxprenolol 40mg Tablet (Actavis UK Ltd),Oxprenolol hydrochloride,40mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
26922,56705020,Brevibloc Premixed 100mg/10ml solution for injection vials (Baxter Healthcare Ltd),Esmolol hydrochloride,10mg/1ml,Solution for injection,Intravenous,2040000,Beta-adrenoceptor Blocking Drugs
34976,59302020,Atenolol 25mg tablets (Tillomed Laboratories Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
35938,64558020,Propranolol 80mg modified-release capsules (A A H Pharmaceuticals Ltd),Propranolol hydrochloride,80mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
3691,66694020,Sotalol 160mg with hydrochlorothiazide 25mg tablet,Sotalol Hydrochloride/Hydrochlorothiazide,160mg + 25mg,Tablets,Oral,2040000,Beta-adrenoceptor Blocking Drugs
472,68438020,Bisoprolol 5mg tablets,Bisoprolol fumarate,5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
53204,973020,Atenolol 50mg tablets (Alliance Healthcare (Distribution) Ltd),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
33850,56836020,Atenolol 50mg tablets (Actavis UK Ltd),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
19172,57790020,Atenolol 25mg tablets (IVAX Pharmaceuticals UK Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
55791,40507020,Bisoprolol 3.75mg tablets (Actavis UK Ltd),Bisoprolol fumarate,3.75mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
58498,15612021,Bisoprolol 2.5mg tablets (Medreich Plc),Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
62407,94413020,Bisoprolol oral solution,Bisoprolol Fumarate,,,,2040000,Beta-adrenoceptor Blocking Drugs
14808,55786020,Bedranol SR 80mg capsules (Sandoz Ltd),Propranolol hydrochloride,80mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
13394,51861020,Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd),Atenolol,5mg/1ml,Oral solution,Oral,2040000,Beta-adrenoceptor Blocking Drugs
1295,68333020,Labetalol 400mg tablets,Labetalol hydrochloride,400mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
52686,31458020,Bisoprolol 2.5mg/5ml oral solution,Bisoprolol fumarate,500microgram/1ml,Oral solution,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
822,91125020,Bisoprolol 1.5mg/5ml oral suspension,Bisoprolol Fumarate,1.5mg/5ml,Oral Suspension,Oral,2040000,Beta-adrenoceptor Blocking Drugs
21133,86681020,Atenamin 50mg Tablet (OPD Pharm),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
59961,21461021,Nebivolol 10mg tablets,Nebivolol hydrochloride,10mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
8113,59925020,Acebutolol 200mg capsules,Acebutolol hydrochloride,200mg,Capsule,Oral,2040000,Beta-adrenoceptor Blocking Drugs
3474,53660020,Betaloc-SA 200mg tablets (AstraZeneca UK Ltd),Metoprolol tartrate,200mg,Modified-release tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
30636,72687020,Vasaten 50mg Tablet (Shire Pharmaceuticals Ltd),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
46908,56095020,Atenolol 100mg tablets (Kent Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
33085,51023020,Atenolol 100mg tablets (A A H Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
46936,67784020,Carvedilol 3.125mg tablets (A A H Pharmaceuticals Ltd),Carvedilol,3.125mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
29180,90895020,Trasicor 80mg tablets (Amdipharm Plc),Oxprenolol hydrochloride,80mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
20082,50243020,Lopresor SR 200mg tablets (Recordati Pharmaceuticals Ltd),Metoprolol tartrate,200mg,Modified-release tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
63493,77726020,Bisoprolol 2.5mg tablets (Actavis UK Ltd),Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
34208,51777020,Propranolol SR 160mg Modified-release capsule (C P Pharmaceuticals Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
59982,1012020,Atenolol 25mg tablets (Accord Healthcare Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34882,52909020,Atenolol 50mg Tablet (Berk Pharmaceuticals Ltd),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
36603,50847020,Propranolol SR 160mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
45297,64022020,Propranolol 40mg tablets (IVAX Pharmaceuticals UK Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
3588,68353020,Monocor 5mg tablets (Wyeth Pharmaceuticals),Bisoprolol fumarate,5mg,Tablet,Oral,02040000/02050000/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction
22793,58484020,Labrocol 200mg Tablet (Lagap),Labetalol hydrochloride,200mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
8023,52703020,Sectral 400mg tablets (Sanofi),Acebutolol hydrochloride,400mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
13871,73921020,Co-prenozide 160mg/0.25mg modified-release tablets,Oxprenolol hydrochloride/Cyclopenthiazide,160mg + 250microgram,Modified-release tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34365,53708020,Atenolol 50mg tablets (Teva UK Ltd),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34214,50424020,Propranolol 160mg tablets (Actavis UK Ltd),Propranolol hydrochloride,160mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
49142,31922020,Carvedilol 3.125mg/5ml oral suspension,Carvedilol,625microgram/1ml,Oral suspension,Oral,2040000,Beta-adrenoceptor Blocking Drugs
8262,68837020,Celiprolol 200mg tablets,Celiprolol hydrochloride,200mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
63736,14465021,Labetalol 100mg tablets (Waymade Healthcare Plc),Labetalol hydrochloride,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
594,83178020,Bisoprolol 2.5mg tablets,Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
53664,40505020,Bisoprolol 2.5mg tablets (Sandoz Ltd),Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
33602,85990020,Slo-Pro 160mg capsules (Mylan Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
61651,1149020,Bisoprolol 7.5mg tablets (Almus Pharmaceuticals Ltd),Bisoprolol fumarate,7.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
7528,80460020,Nebilet 5mg tablets (A. Menarini Farmaceutica Internazionale SRL),Nebivolol hydrochloride,5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34754,51439020,Atenolol 100mg tablets (Sandoz Ltd),Atenolol,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
31536,56093020,Atenolol 25mg tablets (Kent Pharmaceuticals Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
10892,68369020,Emcor 10mg tablets (Merck Serono Ltd),Bisoprolol fumarate,10mg,Tablet,Oral,02040000/02050000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
41555,50436020,Propranolol 40mg tablets (A A H Pharmaceuticals Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
25359,79243020,Rapranol SR 160mg capsules (Ranbaxy (UK) Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
39819,89270020,Esmolol 2.5g/250ml infusion bags,Esmolol Hydrochloride,2500mg/250ml,Solution For Infusion,Intravenous Infusion,2040000,Beta-adrenoceptor Blocking Drugs
7429,51862020,Tenormin 5mg/10ml solution for injection ampoules (AstraZeneca UK Ltd),Atenolol,500microgram/1ml,Solution for injection,Intravenous,2040000,Beta-adrenoceptor Blocking Drugs
59695,980020,Atenolol 50mg tablets (Boston Healthcare Ltd),Atenolol,50mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
16776,68966020,Celectol 400mg Tablet (Pantheon Healthcare Ltd),Celiprolol hydrochloride,400mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
38991,75624020,Bisoprolol 7.5mg tablets (A A H Pharmaceuticals Ltd),Bisoprolol fumarate,7.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
62638,57012020,Labetalol 100mg tablets (Actavis UK Ltd),Labetalol hydrochloride,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
47300,76819020,Nebivolol 2.5mg tablets (Glenmark Generics (Europe) Ltd),Nebivolol hydrochloride,2.5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
24083,62681020,Bisoprolol 5mg tablets (Teva UK Ltd),Bisoprolol fumarate,5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
8068,64670020,Metoprolol 200mg modified-release tablets,Metoprolol tartrate,200mg,Modified-release tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
297,59368020,Propranolol 10mg tablets,Propranolol hydrochloride,10mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
40241,56193020,Propranolol LA 160mg Capsule (Approved Prescription Services Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
50514,1122020,Bisoprolol 2.5mg tablets (Chanelle Medical UK Ltd),Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
40761,97367020,Nebivolol 2.5mg tablets,Nebivolol hydrochloride,2.5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
8935,64895020,Nadolol 40mg tablets,Nadolol,40mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
33644,50437020,Propranolol 80mg tablets (A A H Pharmaceuticals Ltd),Propranolol hydrochloride,80mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
56173,955020,Half Beta-Prograne 80mg modified-release capsules (Actavis UK Ltd),Propranolol hydrochloride,80mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
34821,62677020,Bisoprolol 10mg tablets (Mylan Ltd),Bisoprolol fumarate,10mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
28128,54244020,Propranolol 80mg Modified-release capsule (Actavis UK Ltd),Propranolol hydrochloride,80mg,Modified-release capsule,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
62711,20143021,Propranolol 80mg modified-release capsules (Waymade Healthcare Plc),Propranolol hydrochloride,80mg,Modified-release capsule,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
1050,54494020,Inderal 40mg tablets (AstraZeneca UK Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
52728,1077020,Beta-Adalat modified-release capsules (Lexon (UK) Ltd),Atenolol/Nifedipine,50mg + 20mg,Modified-release capsule,Oral,02040000/02060200,Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers
34585,51440020,Atenolol 25mg tablets (Sandoz Ltd),Atenolol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
30541,57093020,Esmolol HCl 250mg/ml concentrate solution for infusion,Esmolol Hydrochloride,250mg/ml,Concentrate For Solution For Infusion,,2040000,Beta-adrenoceptor Blocking Drugs
33376,78494020,Probeta LA 160mg Capsule (Trinity Pharmaceuticals Ltd),Propranolol hydrochloride,160mg,Modified-release capsule,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine
59222,43810020,Labetalol 100mg/20ml solution for injection ampoules (Focus Pharmaceuticals Ltd),Labetalol hydrochloride,5mg/1ml,Solution for injection,Intravenous,2040000,Beta-adrenoceptor Blocking Drugs
12651,67081020,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,Timolol maleate/Bendroflumethiazide,10mg + 2.5mg,Tablet,Oral,2040100,Beta-adrenoceptor Blocking Drugs With Diuretic
47041,75328020,Bisoprolol 2.5mg tablets (Mylan Ltd),Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
7049,72237020,Carvedilol 25mg tablets,Carvedilol,25mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
1597,63899020,Labetalol 100mg tablets,Labetalol hydrochloride,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
18185,83191020,Cardicor 7.5mg tablets (Merck Serono Ltd),Bisoprolol fumarate,7.5mg,Tablet,Oral,02040000/02050000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
20502,72697020,Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
46935,67701020,Carvedilol 3.125mg tablets (Actavis UK Ltd),Carvedilol,3.125mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
