medcode,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
16408,339,25,0,0,G32..11,Healed myocardial infarction,Feb-09
17464,1260,27,3,0,G32..12,Personal history of myocardial infarction,Feb-09
1430,783731,38247,215,0,G33..00,Angina pectoris,Feb-09
18125,242,15,0,0,G330000,Nocturnal angina,Feb-09
20095,2397,199,0,0,G330.00,Angina decubitus,Feb-09
29902,40,1,0,0,G330z00,Angina decubitus NOS,Feb-09
12986,756,17,0,0,G331.00,Prinzmetal's angina,Feb-09
11048,142,21,0,0,G331.11,Variant angina pectoris,Feb-09
36854,1128,9,0,0,G332.00,Coronary artery spasm,Feb-09
28554,11702,135,1,0,G33zz00,Angina pectoris NOS,Feb-09
66388,17,0,0,0,G33z000,Status anginosus,Feb-09
54535,8,0,0,0,G33z100,Stenocardia,Feb-09
7696,49,0,0,0,G33z200,Syncope anginosa,Feb-09
1414,6976,614,2,0,G33z300,Angina on effort,Feb-09
32450,1091,130,0,0,G33z400,Ischaemic chest pain,Feb-09
9555,211,2,0,0,G33z500,Post infarct angina,Feb-09
26863,410,5,0,0,G33z600,New onset angina,Feb-09
12804,5739,46,0,0,G33z700,Stable angina,Feb-09
28138,643,4,0,0,G34..00,Other chronic ischaemic heart disease,Feb-09
3999,5011,26,0,0,G340000,Single coronary vessel disease,Feb-09
5254,3366,15,0,0,G340100,Double coronary vessel disease,Feb-09
1655,8751,82,0,0,G340.11,Triple vessel disease of the heart,Feb-09
1344,36664,603,10,0,G340.12,Coronary artery disease,Feb-09
5413,7638,96,2,0,G340.00,Coronary atherosclerosis,Feb-09
36609,252,1,0,0,G342.00,Atherosclerotic cardiovascular disease,Feb-09
7320,1855,37,0,0,G343.00,Ischaemic cardiomyopathy,Feb-09
29421,556,23,0,0,G344.00,Silent myocardial ischaemia,Feb-09
35713,46,3,0,0,G34yz00,Other specified chronic ischaemic heart disease NOS,Feb-09
34633,61,2,0,0,G34y.00,Other specified chronic ischaemic heart disease,Feb-09
23078,1170,14,0,0,G34y100,Chronic myocardial ischaemia,Feb-09
24540,121,2,0,0,G34y000,Chronic coronary insufficiency,Feb-09
18889,998,7,0,0,G34z000,Asymptomatic coronary heart disease,Feb-09
15754,353,12,0,0,G34z.00,Other chronic ischaemic heart disease NOS,Feb-09
18842,275,8,0,0,G35..00,Subsequent myocardial infarction,Feb-09
45809,53,0,0,0,G350.00,Subsequent myocardial infarction of anterior wall,Feb-09
72562,6,0,0,0,G353.00,Subsequent myocardial infarction of other sites,Feb-09
46166,10,0,0,0,G35X.00,Subsequent myocardial infarction of unspecified site,Feb-09
38609,45,1,0,0,G351.00,Subsequent myocardial infarction of inferior wall,Feb-09
37657,51,3,0,0,G362.00,Ventric septal defect/curr comp fol acut myocardal infarctn,Feb-09
23708,30,2,0,0,G361.00,Atrial septal defect/curr comp folow acut myocardal infarct,Feb-09
29553,49,3,0,0,G366.00,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",Feb-09
69474,5,0,0,0,G365.00,Rupture papillary muscle/curr comp fol acute myocard infarct,Feb-09
24126,153,1,0,0,G360.00,Haemopericardium/current comp folow acut myocard infarct,Feb-09
59940,2,0,0,0,G364.00,Ruptur chordae tendinae/curr comp fol acute myocard infarct,Feb-09
36423,30,1,0,0,G36..00,Certain current complication follow acute myocardial infarct,Feb-09
59189,6,0,0,0,G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,Feb-09
41835,30,1,0,0,G384.00,Postoperative subendocardial myocardial infarction,Feb-09
46276,17,0,0,0,G381.00,Postoperative transmural myocardial infarction inferior wall,Feb-09
106812,1,0,0,0,G383.00,Postoperative transmural myocardial infarction unspec site,Aug-13
32272,200,6,0,0,G38..00,Postoperative myocardial infarction,Feb-09
46112,5,0,0,0,G380.00,Postoperative transmural myocardial infarction anterior wall,Feb-09
68748,11,0,0,0,G38z.00,"Postoperative myocardial infarction, unspecified",Feb-09
22383,688,1,0,0,G3y..00,Other specified ischaemic heart disease,Feb-09
1676,32470,292,1,0,G3z..00,Ischaemic heart disease NOS,Feb-09
35119,47,1,0,0,G501.00,Post infarction pericarditis,Feb-09
96838,1,0,0,0,Gyu3400,[X]Acute transmural myocardial infarction of unspecif site,May-09
1195,14010,1896,0,0,F423600,Amaurosis fugax,Feb-09
63746,20,0,0,0,Fyu5500,[X]Other transnt cerebral ischaemic attacks+related syndroms,Feb-09
23671,1208,7,0,0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,Feb-09
24446,287,5,0,0,G63y100,Cerebral infarction due to embolism of precerebral arteries,Feb-09
26424,971,5,0,0,G64z400,Infarction of basal ganglia,Feb-09
16517,3188,97,0,0,G640.00,Cerebral thrombosis,Feb-09
34758,65,2,0,0,G641.11,Cerebral embolus,Feb-09
10504,1756,3,0,0,G64z300,Right sided cerebral infarction,Feb-09
8837,18764,158,0,0,G64..00,Cerebral arterial occlusion,Feb-09
9985,1778,6,0,0,G64z200,Left sided cerebral infarction,Feb-09
3149,23961,210,0,0,G64z.00,Cerebral infarction NOS,Feb-09
15019,1219,64,0,0,G641.00,Cerebral embolism,Feb-09
47642,38,1,0,0,G64z100,Wallenberg syndrome,Feb-09
27975,183,0,0,0,G641000,Cerebral infarction due to embolism of cerebral arteries,Feb-09
5363,23990,397,0,0,G64..11,CVA - cerebral artery occlusion,Feb-09
6155,4237,53,0,0,G64..13,Stroke due to cerebral arterial occlusion,Feb-09
569,3845,177,0,0,G64..12,Infarction - cerebral,Feb-09
15252,367,29,0,0,G64z.11,Brainstem infarction NOS,Feb-09
5602,6019,59,0,0,G64z.12,Cerebellar infarction,Feb-09
25615,654,35,0,0,G64z000,Brainstem infarction,Feb-09
5185,245,3,0,0,G64z111,Lateral medullary syndrome,Feb-09
36717,780,5,0,0,G640000,Cerebral infarction due to thrombosis of cerebral arteries,Feb-09
504,168987,13937,8,0,G65..00,Transient cerebral ischaemia,Feb-09
3132,4522,1467,0,0,G65..11,Drop attack,Feb-09
1433,143725,8028,0,0,G65..12,Transient ischaemic attack,Feb-09
2417,7661,399,0,0,G65..13,Vertebro-basilar insufficiency,Feb-09
23942,1036,41,0,0,G650.00,Basilar artery syndrome,Feb-09
5268,4810,263,2,0,G650.11,Insufficiency - basilar artery,Feb-09
23465,447,44,0,0,G652.00,Subclavian steal syndrome,Feb-09
44765,59,2,0,0,G653.00,Carotid artery syndrome hemispheric,Feb-09
50594,5,0,0,0,G654.00,Multiple and bilateral precerebral artery syndromes,Feb-09
10794,1929,31,0,0,G656.00,Vertebrobasilar insufficiency,Feb-09
19354,202,4,0,0,G65y.00,Other transient cerebral ischaemia,Feb-09
1895,1866,66,0,0,G65z.00,Transient cerebral ischaemia NOS,Feb-09
55247,17,0,0,0,G65z000,Impending cerebral ischaemia,Feb-09
16507,174,10,0,0,G65z100,Intermittent cerebral ischaemia,Feb-09
15788,6030,67,0,0,G65zz00,Transient cerebral ischaemia NOS,Feb-09
1469,212671,22865,379,0,G66..00,Stroke and cerebrovascular accident unspecified,Feb-09
1298,106529,3202,26,0,G66..11,CVA unspecified,Feb-09
6253,4582,72,0,0,G66..12,Stroke unspecified,Feb-09
6116,15211,388,0,0,G66..13,CVA - Cerebrovascular accident unspecified,Feb-09
7780,4557,92,0,0,G667.00,Left sided CVA,Feb-09
12833,4032,82,0,0,G668.00,Right sided CVA,Feb-09
39344,216,2,0,0,G676000,"Cereb infarct due cerebral venous thrombosis, nonpyogenic",Feb-09
40758,320,2,0,0,G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries,Feb-09
33543,1892,3,0,0,G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Feb-09
91627,66,0,0,0,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Feb-09
53745,398,2,0,0,Gyu6400,[X]Other cerebral infarction,Feb-09
90572,14,0,0,0,Gyu6500,[X]Occlusion and stenosis of other precerebral arteries,Feb-09
92036,31,0,0,0,Gyu6600,[X]Occlusion and stenosis of other cerebral arteries,Feb-09
101251,219,4,0,0,ZV12D00,[V]Personal history of transient ischaemic attack,Jan-11
