medcode,readcode,readterm
31310,C108900,Insulin dependent diabetes maturity onset
44982,C10FE00,Type 2 diabetes mellitus with diabetic cataract
4513,C109.00,Non-insulin dependent diabetes mellitus
24490,C100000,"Diabetes mellitus, juvenile type, no mention of complication"
47321,C10F100,Type 2 diabetes mellitus with ophthalmic complications
1682,C101.00,Diabetes mellitus with ketoacidosis
16502,C104.00,Diabetes mellitus with renal manifestation
22573,C106z00,Diabetes mellitus NOS with neurological manifestation
50972,C100z00,Diabetes mellitus NOS with no mention of complication
64283,C10zy00,Other specified diabetes mellitus with unspecified comps
68390,C108512,Type 1 diabetes mellitus with ulcer
64449,C108z00,Unspecified diabetes mellitus with multiple complications
61122,C10H.00,Diabetes mellitus induced by non-steroid drugs
24458,C109711,Type II diabetes mellitus - poor control
45913,C109712,Type 2 diabetes mellitus - poor control
17858,C108.12,Type 1 diabetes mellitus
24423,C108.13,Type I diabetes mellitus
50813,C109A11,Type II diabetes mellitus with mononeuropathy
102201,C10FC11,Type II diabetes mellitus with nephropathy
39809,C108J00,Insulin dependent diab mell with neuropathic arthropathy
95343,C10E711,Type I diabetes mellitus with retinopathy
93875,C10E712,Insulin dependent diabetes mellitus with retinopathy
52303,C109000,Non-insulin-dependent diabetes mellitus with renal comps
54008,C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy
44440,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma
29979,C109900,Non-insulin-dependent diabetes mellitus without complication
45467,C109B00,Non-insulin dependent diabetes mellitus with polyneuropathy
49554,C10EF00,Type 1 diabetes mellitus with diabetic cataract
68843,C103100,"Diabetes mellitus, adult onset, with ketoacidotic coma"
59288,C103y00,Other specified diabetes mellitus with coma
98704,C10E512,Insulin dependent diabetes mellitus with ulcer
56803,C107400,NIDDM with peripheral circulatory disorder
70448,C107000,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
40837,C10EN00,Type 1 diabetes mellitus with ketoacidotic coma
60107,C108411,Unstable type I diabetes mellitus
63371,C10y100,"Diabetes mellitus, adult, + other specified manifestation"
108724,C10EQ11,Type I diabetes mellitus with gastroparesis
97894,C10EP11,Type I diabetes mellitus with exudative maculopathy
52104,C108300,Insulin dependent diabetes mellitus with multiple complicatn
46290,C108y00,Other specified diabetes mellitus with multiple comps
14803,C100100,"Diabetes mellitus, adult onset, no mention of complication"
43921,C10E400,Unstable type 1 diabetes mellitus
18496,C10F600,Type 2 diabetes mellitus with retinopathy
21482,C102.00,Diabetes mellitus with hyperosmolar coma
50225,C109011,Type II diabetes mellitus with renal complications
32627,C10FN00,Type 2 diabetes mellitus with ketoacidosis
67212,C10H000,DM induced by non-steroid drugs without complication
51261,C10E.12,Insulin dependent diabetes mellitus
38986,C100.00,Diabetes mellitus with no mention of complication
35107,C104z00,Diabetes mellitus with nephropathy NOS
72345,C102z00,Diabetes mellitus NOS with hyperosmolar coma
63017,C108911,Type I diabetes mellitus maturity onset
97446,C108912,Type 1 diabetes mellitus maturity onset
93727,C10FE11,Type II diabetes mellitus with diabetic cataract
5884,C109.11,NIDDM - Non-insulin dependent diabetes mellitus
18219,C109.13,Type II diabetes mellitus
17859,C109.12,Type 2 diabetes mellitus
47315,C10F711,Type II diabetes mellitus - poor control
100964,C10F111,Type II diabetes mellitus with ophthalmic complications
98071,C10E112,Insulin-dependent diabetes mellitus with ophthalmic comps
99311,C10E111,Type I diabetes mellitus with ophthalmic complications
33343,C10y.00,Diabetes mellitus with other specified manifestation
43785,C109D00,Non-insulin dependent diabetes mellitus with hypoglyca coma
62209,C10EM11,Type I diabetes mellitus with ketoacidosis
60796,C10FL11,Type II diabetes mellitus with persistent proteinuria
100347,C10A500,Malnutritn-relat diabetes melitus wth periph circul complctn
8403,C109700,Non-insulin dependent diabetes mellitus - poor control
1647,C108.00,Insulin dependent diabetes mellitus
72320,C109A00,Non-insulin dependent diabetes mellitus with mononeuropathy
109197,C10FH11,Type II diabetes mellitus with neuropathic arthropathy
95636,C10ER00,Latent autoimmune diabetes mellitus in adult
54856,C101100,"Diabetes mellitus, adult onset, with ketoacidosis"
96506,C10G000,Secondary pancreatic diabetes mellitus without complication
39070,C10EE00,Type 1 diabetes mellitus with hypoglycaemic coma
63690,C10FR00,Type 2 diabetes mellitus with gastroparesis
42567,C103000,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
97474,C108412,Unstable type 1 diabetes mellitus
110400,C108F12,Type 1 diabetes mellitus with diabetic cataract
17545,C108F11,Type I diabetes mellitus with diabetic cataract
18209,C109012,Type 2 diabetes mellitus with renal complications
42729,C108E11,Type I diabetes mellitus with hypoglycaemic coma
70766,C108E12,Type 1 diabetes mellitus with hypoglycaemic coma
47409,C109B11,Type II diabetes mellitus with polyneuropathy
109865,C109B12,Type 2 diabetes mellitus with polyneuropathy
14889,C100111,Maturity onset diabetes
100770,C10EF12,Insulin dependent diabetes mellitus with diabetic cataract
70821,C10yz00,Diabetes mellitus NOS with other specified manifestation
46150,C109512,Type 2 diabetes mellitus with gangrene
62107,C109511,Type II diabetes mellitus with gangrene
91646,C10F411,Type II diabetes mellitus with ulcer
39481,C10F811,Metabolic syndrome X
26108,C10B000,Steroid induced diabetes mellitus without complication
18387,C10E700,Type 1 diabetes mellitus with retinopathy
51697,C10G.00,Secondary pancreatic diabetes mellitus
1549,C10E.00,Type 1 diabetes mellitus
25627,C10F700,Type 2 diabetes mellitus - poor control
55239,C10EQ00,Type 1 diabetes mellitus with gastroparesis
109628,C10P011,Type 1 diabetes mellitus in remission
53200,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis"
18143,C109G11,Type II diabetes mellitus with arthropathy
108007,C108311,Type I diabetes mellitus with multiple complications
67853,C106000,"Diabetes mellitus, juvenile, + neurological manifestation"
102740,C108112,Type 1 diabetes mellitus with ophthalmic complications
506,C100112,Non-insulin dependent diabetes mellitus
37957,C10K.00,Type A insulin resistance
22884,C10F.11,Type II diabetes mellitus
59991,C10D.11,Maturity onset diabetes in youth type 2
49869,C109G12,Type 2 diabetes mellitus with arthropathy
97849,C10E912,Insulin dependent diabetes maturity onset
54212,C109F00,Non-insulin-dependent d m with peripheral angiopath
