medcode,readcode,readterm
6328,B834.00,Carcinoma in situ of prostate
6436,BB43.00,[M]Transitional cell carcinoma NOS
6471,B57..11,Metastases of respiratory and/or digestive systems
6701,B565.00,Secondary and unspec malig neop intrapelvic lymph nodes
6746,BB5M.00,[M]Tubular adenomas and adenocarcinomas
6806,B12..00,Malignant neoplasm of small intestine and duodenum
6903,B803.00,Carcinoma in situ of colon
6920,BB5U.00,[M]Villous adenomas and adenocarcinomas
6935,B131.00,Malignant neoplasm of transverse colon
6966,BB1D.00,[M]Spindle cell carcinoma
7046,B43..00,Malignant neoplasm of body of uterus
7176,B65..00,Myeloid leukaemia
7187,B837.00,Carcinoma in situ of bladder
7219,B141.11,Carcinoma of rectum
7319,BB9G.00,[M]Infiltrating ductular carcinoma
7473,B8...00,Carcinoma in situ
7484,B226.00,Mesothelioma
7654,B585.00,Secondary malignant neoplasm of bone and bone marrow
7697,B810800,Carcinoma in situ of vocal fold - glottis
7740,B470200,Seminoma of undescended testis
7805,B440.00,Malignant neoplasm of ovary
7830,B56..11,Lymph node metastases
7833,B830.00,Carcinoma in situ of breast
7904,B832000,Carcinoma in situ of endometrium
7940,ByuDF11,[X]Non-Hodgkin's lymphoma NOS
7978,B4A0000,Hypernephroma
7982,B161200,Malignant neoplasm of common bile duct
8032,BB5B.00,[M]Pancreatic adenomas and carcinomas
8101,BB5a.00,[M]Renal adenoma and carcinoma
8154,B576200,Malignant ascites
8166,B17..00,Malignant neoplasm of pancreas
8177,B836000,Carcinoma in situ of testis
8244,B801.00,Carcinoma in situ of oesophagus
8351,BB91.00,[M]Infiltrating duct carcinoma
8386,B11..00,Malignant neoplasm of stomach
8550,B542000,Malignant neoplasm of pituitary gland
8606,BB5j.00,[M]Endometrioid adenomas and carcinomas
8625,B641.00,Chronic lymphoid leukaemia
8627,BB07.00,"[M]Tumour cells, malignant"
8649,ByuDF00,"[X]Non-Hodgkin's lymphoma, unspecified type"
8693,B5...11,Carcinoma of other and unspecified sites
8695,BB12.00,[M]Carcinoma NOS
8711,BB5D100,[M]Cholangiocarcinoma
8771,B170.00,Malignant neoplasm of head of pancreas
8918,B15..00,Malignant neoplasm of liver and intrahepatic bile ducts
8930,BB52.00,[M]Adenocarcinoma NOS
8958,B8yy000,Carcinoma in situ of thyroid gland
9030,B55..00,Malignant neoplasm of other and ill-defined sites
9088,B130.00,Malignant neoplasm of hepatic flexure of colon
9118,B13z.11,Colonic cancer
9156,BB1K.00,[M]Oat cell carcinoma
9237,B21z.00,Malignant neoplasm of larynx NOS
9267,B812.00,Carcinoma in situ of bronchus and lung
9291,BB1J.00,[M]Small cell carcinoma NOS
9366,BB13.11,[M]Secondary carcinoma
9447,BB5j200,[M]Endometrioid carcinoma
9470,B34z.00,Malignant neoplasm of female breast NOS
9476,B471100,Teratoma of descended testis
9491,B142.11,Anal carcinoma
9600,B232.00,Mesothelioma of pleura
9618,B56..00,Secondary and unspecified malignant neoplasm of lymph nodes
9622,B525.00,Malignant neoplasm of cauda equina
9712,BB4A.00,[M]Papillary transitional cell carcinoma
9902,B3...11,"Carcinoma of bone, connective tissue, skin and breast"
9956,BB9E000,[M]Intraductal carcinoma and lobular carcinoma in situ
10134,BB29.00,[M]Squamous cell carcinoma in situ NOS
10283,B01..00,Malignant neoplasm of tongue
10292,8CL0.00,Cancer diagnosis discussed
10314,B057.00,Overlapping lesion of other and unspecified parts of mouth
10335,1O0..00,Cancer confirmed
10358,B222.00,"Malignant neoplasm of upper lobe, bronchus or lung"
10368,B11..11,Gastric neoplasm
10375,B810811,Carcinoma in situ of glottis
10387,B830000,Lobular carcinoma in situ of breast
10541,BB22.00,[M]Papillary carcinoma NOS
10668,BB5a000,[M]Renal cell carcinoma
10698,B450100,Malignant neoplasm of vaginal vault
10726,B651.00,Chronic myeloid leukaemia
10851,B51..11,Cerebral tumour - malignant
10864,B132.00,Malignant neoplasm of descending colon
10946,B136.00,Malignant neoplasm of ascending colon
10949,B162.00,Malignant neoplasm of ampulla of Vater
10995,B5...00,Malignant neoplasm of other and unspecified sites
11009,B1z..00,Malig neop oth/ill-defined sites digestive tract/peritoneum
11035,B593.00,Primary malignant neoplasm of unknown site
11403,B810.00,Carcinoma in situ of larynx
11628,B1z0.11,Cancer of bowel
11991,B454.11,Primary vulval cancer
11991,B454.11,Primary vulval cancer
12006,B621.00,Mycosis fungoides
12119,B833300,Carcinoma in situ of vulva
12273,B806.00,Carcinoma in situ of anus NOS
12323,B6...00,Malignant neoplasm of lymphatic and haemopoietic tissue
12335,B62y.00,Malignant lymphoma NOS
12388,BB43.11,[M]Urothelial carcinoma
12389,B4A1.00,Malignant neoplasm of renal pelvis
12427,BB9F.00,[M]Lobular carcinoma NOS
12464,B62x200,Peripheral T-cell lymphoma
12480,BB9K000,[M]Paget's disease and intraductal carcinoma of breast
12490,B550200,Malignant neoplasm of nose NOS
12497,BB82100,[M]Mucinous adenocarcinoma
12499,Byu6.00,[X]Malignant neoplasm of breast
12539,B3...12,Sarcoma of bone and connective tissue
12580,BBB0.00,[M]Adenosquamous carcinoma
12582,B224100,Malignant neoplasm of lower lobe of lung
12609,BB19.00,"[M]Carcinoma, anaplastic type, NOS"
12870,B221.00,Malignant neoplasm of main bronchus
13243,B22..00,"Malignant neoplasm of trachea, bronchus and lung"
13252,B4...00,Malignant neoplasm of genitourinary organ
13559,B4A..00,Malig neop of kidney and other unspecified urinary organs
13569,B590.00,Disseminated malignancy NOS
13574,BB36.00,[M]Metatypical carcinoma
14792,B05..00,Malignant neoplasm of other and unspecified parts of mouth
14800,B11z.00,Malignant neoplasm of stomach NOS
15027,B62yz00,Malignant lymphoma NOS
15036,B626.00,Malignant mast cell tumours
15103,B577.00,Secondary malignant neoplasm of liver
15148,B47..00,Malignant neoplasm of testis
15182,B31z.00,"Malignant neoplasm of connective and soft tissue, site NOS"
15211,B630.12,Myelomatosis
15221,B220.00,Malignant neoplasm of trachea
15223,B4A2.00,Malignant neoplasm of ureter
15504,B62y800,Malignant lymphoma NOS of lymph nodes of multiple sites
15507,B56z.00,Secondary and unspec malig neop lymph nodes NOS
15644,B4A3.00,Malignant neoplasm of urethra
15684,B204.00,Malignant neoplasm of frontal sinus
15709,B1...00,Malignant neoplasm of digestive organs and peritoneum
15711,B510.00,Malignant neoplasm cerebrum (excluding lobes and ventricles)
15907,B16z.00,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS
15976,B552.00,Malignant neoplasm of abdomen
15989,B47z.12,Teratoma of testis
15991,B506.00,Malignant neoplasm of choroid
16075,B30z.00,Malignant neoplasm of bone and articular cartilage NOS
16105,B160.00,Malignant neoplasm of gallbladder
16126,B150000,Primary carcinoma of liver
16146,BBB2.00,[M]Adenocarcinoma with squamous metaplasia
16213,B572.00,Secondary malignant neoplasm of pleura
16241,B060.00,Malignant neoplasm of tonsil
16280,B550400,Malignant neoplasm of neck NOS
16297,B0z0.00,Malignant neoplasm of pharynx unspecified
16298,B18z.00,Malignant neoplasm of retroperitoneum and peritoneum NOS
16416,B681.00,Chronic leukaemia NOS
16460,BBg2.00,"[M]Malignant lymphoma, non Hodgkin's type"
16500,B58z.00,Secondary malignant neoplasm of other specified site NOS
16677,BB9B.00,[M]Medullary carcinoma NOS
16692,BB14.00,[M]Carcinomatosis
16704,B302.00,Malignant neoplasm of vertebral column
16723,BB5S212,[M]Bronchiolar carcinoma
16760,B58y000,Secondary malignant neoplasm of breast
16874,B4...11,Carcinoma of genitourinary organ
16915,B151.00,Malignant neoplasm of intrahepatic bile ducts
16916,B803400,Carcinoma in situ of caecum
16931,B80z000,Carcinoma in situ of pancreas
16967,B432.00,Malignant neoplasm of overlapping lesion of corpus uteri
17056,B6y0.11,Myeloproliferative disease
17093,B802.00,Carcinoma in situ of stomach
17137,B833000,Carcinoma in situ of ovary
17144,B803300,Carcinoma in situ of sigmoid colon
17182,B627C11,Follicular lymphoma NOS
17258,B802000,Carcinoma in situ of cardia of stomach
17391,B221000,Malignant neoplasm of carina of bronchus
17460,B627700,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
17475,B300A00,Malignant neoplasm of maxilla
17559,B1z0.00,"Malignant neoplasm of intestinal tract, part unspecified"
17841,B481.00,Malignant neoplasm of glans penis
17874,B181.00,Mesothelioma of peritoneum
17887,B62x.00,Malignant lymphoma otherwise specified
17912,B042.00,"Malignant neoplasm, overlapping lesion of floor of mouth"
18231,B540.11,Phaeochromocytoma
18255,BB5L.00,[M]Adenomatous and adenocarcinomatous polyps
18314,B30..00,Malignant neoplasm of bone and articular cartilage
18608,B3...00,"Malig neop of bone, connective tissue, skin and breast"
18613,B120.00,Malignant neoplasm of duodenum
18616,B58y.00,Secondary malignant neoplasm of other specified sites
18617,B51..00,Malignant neoplasm of brain
18619,B137.00,Malignant neoplasm of splenic flexure of colon
18632,B135.00,Malignant neoplasm of appendix
18658,B562300,Secondary and unspec malig neop common iliac lymph nodes
18676,B585000,Pathological fracture due to metastatic bone disease
18678,B224000,Malignant neoplasm of lower lobe bronchus
18694,B830100,Intraductal carcinoma in situ of breast
18712,B4A..11,Renal malignant neoplasm
19028,B630100,Solitary myeloma
19041,BB29.12,[M]Intraepidermal carcinoma NOS
19091,BB5..00,[M]Adenomas and adenocarcinomas
19140,B614800,Hodgkin's nodular sclerosis of lymph nodes of multiple sites
19141,B44..00,Malignant neoplasm of ovary and other uterine adnexa
19144,Byu4.00,[X]Melanoma and other malignant neoplasms of skin
19162,B493.00,Malignant neoplasm of anterior wall of urinary bladder
19226,B513.00,Malignant neoplasm of parietal lobe
19263,BB5f.00,[M]Thyroid adenoma and adenocarcinoma
19318,B112.00,Malignant neoplasm of pyloric antrum of stomach
19321,B311300,Malignant neoplasm of connective and soft tissue of hand
19372,B64..00,Lymphoid leukaemia
19389,B3y..00,"Malig neop of bone, connective tissue, skin and breast OS"
19415,B0...00,"Malignant neoplasm of lip, oral cavity and pharynx"
19423,B35..00,Malignant neoplasm of male breast
19437,B30z000,Osteosarcoma
19444,Byu4100,"[X]Malignant melanoma of skin, unspecified"
19475,B471.00,Malignant neoplasm of descended testis
19665,B824000,Carcinoma in situ of scalp
19678,BB29.13,[M]Intraepithelial squamous cell carcinoma
19974,B660.00,Acute monocytic leukaemia
20092,B04..00,Malignant neoplasm of floor of mouth
20159,B56y.00,Secondary and unspec malig neop lymph nodes multiple sites
20160,B50..00,Malignant neoplasm of eye
20166,B45z.00,Malignant neoplasm of female genital organ NOS
20170,B222.11,Pancoast's syndrome
20292,B02..00,Malignant neoplasm of major salivary glands
20440,B69..00,Myelomonocytic leukaemia
20564,BB11.00,[M]Carcinoma in situ NOS
20685,B346.00,Malignant neoplasm of axillary tail of female breast
20807,BB26.00,[M]Papillary squamous cell carcinoma
21217,BB1N.00,[M]Small cell-large cell carcinoma
21329,B630200,Plasmacytoma NOS
21330,B180.00,Malignant neoplasm of retroperitoneum
21402,B602.00,Burkitt's lymphoma
21549,B627C00,Follicular non-Hodgkin's lymphoma
21590,B58y500,Secondary malignant neoplasm of prostate
21609,BB18.00,"[M]Carcinoma, undifferentiated type, NOS"
21620,B111.00,Malignant neoplasm of pylorus of stomach
21652,BB42.00,[M]Transitional cell carcinoma in situ
21698,B221z00,Malignant neoplasm of main bronchus NOS
21715,Byu5011,[X]Mesothelioma of lung
21741,BB5f100,[M]Follicular adenocarcinoma NOS
21786,B471000,Seminoma of descended testis
21792,B808600,Carcinoma in situ of ampulla of Vater
21833,BB91.11,[M]Duct carcinoma NOS
21847,BB5f111,[M]Follicular carcinoma
21861,BB9E.00,[M]Lobular carcinoma in situ
21868,BB02.00,"[M]Neoplasm, malignant"
21914,BB11.11,[M]Intraepithelial carcinoma NOS
22050,B691.00,Chronic myelomonocytic leukaemia
22146,B581100,Secondary malignant neoplasm of bladder
22156,BB08.00,"[M]Malignant tumour, small cell type"
22158,B630000,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
22163,B134.11,Carcinoma of caecum
22187,B150300,Hepatocellular carcinoma
22290,B313.00,Malignant neoplasm of connective and soft tissue of thorax
22392,B807.00,Carcinoma in situ of other and unspecified small intestine
22441,B212.00,Malignant neoplasm of subglottis
22524,B58yz00,Secondary malignant neoplasm of other specified site NOS
22692,BBEG000,"[M]Acral lentiginous melanoma, malignant"
22699,B803700,Carcinoma in situ of splenic flexure of colon
22893,B06..00,Malignant neoplasm of oropharynx
22894,B110100,Malignant neoplasm of cardio-oesophageal junction of stomach
23380,B340000,Malignant neoplasm of nipple of female breast
23389,B200.00,Malignant neoplasm of nasal cavities
23399,B344.00,Malignant neoplasm of upper-outer quadrant of female breast
23433,B161.00,Malignant neoplasm of extrahepatic bile ducts
23711,BBg1000,"[M]Malignant lymphoma, diffuse NOS"
23861,B551100,Malignant neoplasm of chest wall NOS
24048,B180200,Malignant neoplasm of retrocaecal tissue
24228,B831000,Carcinoma in situ of endocervix
24235,B524.00,Malig neopl peripheral nerves and autonomic nervous system
24293,BB2B.00,"[M]Squamous cell carcinoma, metastatic NOS"
24301,B57..12,Secondary carcinoma of respiratory and/or digestive systems
24312,BB62.00,[M]Apocrine adenoma and adenocarcinomas
24370,B142.00,Malignant neoplasm of anal canal
24374,B0...11,"Carcinoma of lip, oral cavity and pharynx"
24397,B061.00,Malignant neoplasm of tonsillar fossa
24456,B201.00,"Malig neop auditory tube, middle ear and mastoid air cells"
24511,BB09.00,"[M]Malignant tumour, giant cell type"
24551,BBE1.11,[M]Melanocarcinoma
24675,B07..00,Malignant neoplasm of nasopharynx
24801,B800400,Carcinoma in situ of floor of mouth
24852,B016.00,Malignant neoplasm of lingual tonsil
25191,B68..00,Leukaemia of unspecified cell type
25310,B808000,Carcinoma in situ of liver
25366,B561300,Secondary and unspec malig neop ant mediastinal lymph nodes
25372,B812z00,Carcinoma in situ of bronchus or lung NOS
25535,B150.00,Primary malignant neoplasm of liver
25602,B326400,Malignant melanoma of finger
25641,BB5D513,[M]Liver cell carcinoma
25886,B222100,Malignant neoplasm of upper lobe of lung
25961,BB17.00,[M]Large cell carcinoma NOS
26034,B591.00,Other malignant neoplasm NOS
26076,9Ok5.00,Cancer pain and symptom management
26120,BB5V.00,[M]Pituitary adenomas and carcinomas
26134,B064000,"Malignant neoplasm of epiglottis, free border"
26165,B211.00,Malignant neoplasm of supraglottis
26253,BB5R900,[M]Neuroendocrine carcinoma
26393,B152.00,Malignant neoplasm of liver unspecified
26413,BB1A.00,[M]Pleomorphic carcinoma
26448,B060000,Malignant neoplasm of faucial tonsil
26454,B45X.00,Malignant neoplasm/overlapping lesion/feml genital organs
26652,B20..00,"Malig neop nasal cavities, middle ear and accessory sinuses"
26813,B21y.00,"Malignant neoplasm of larynx, other specified site"
26814,BB5D512,"[M]Hepatoma, malignant"
26846,B81y700,Carcinoma in situ of ethmoidal sinus
26848,BB5S.00,[M]Respiratory tract adenomas and adenocarcinomas
26853,B340.00,Malignant neoplasm of nipple and areola of female breast
26858,BB5C.00,[M]Gastrinoma and carcinomas
27311,B835.00,Carcinoma in situ of penis
27330,B624.00,Leukaemic reticuloendotheliosis
27340,B670.11,Di Guglielmo's disease
27363,BBd2.00,"[M]Meningioma, malignant"
27391,B576100,Secondary malignant neoplasm of peritoneum
27416,B601.00,Lymphosarcoma
27449,B554.00,Malignant neoplasm of upper limb NOS
27458,B661.00,Chronic monocytic leukaemia
27483,B240.00,Malignant neoplasm of thymus
27509,BBP1.00,"[M]Mesothelioma, malignant"
27520,B651z00,Chronic myeloid leukaemia NOS
27528,B303.00,"Malignant neoplasm of ribs, sternum and clavicle"
27540,B4A1000,Malignant neoplasm of renal calyces
27617,B45y000,Malignant neoplasm of overlapping lesion of vulva
27651,B58..11,Secondary carcinoma of other specified sites
27664,B65y100,Acute promyelocytic leukaemia
27715,B242.00,Malignant neoplasm of anterior mediastinum
27728,BB90.00,"[M]Intraductal carcinoma, noninfiltrating NOS"
27790,B641.11,Chronic lymphatic leukaemia
27811,B804000,Carcinoma in situ of rectosigmoid junction
27827,BB51.00,[M]Adenocarcinoma in situ
27849,BB5U200,[M]Villous adenocarcinoma
27855,B140.00,Malignant neoplasm of rectosigmoid junction
27897,B143.00,Malignant neoplasm of anus unspecified
27944,B800100,Carcinoma in situ of tongue
28003,B420.00,Choriocarcinoma
28003,B420.00,Choriocarcinoma
28059,B560600,Secondary and unspec malig neop of facial lymph nodes
28069,B505.00,Malignant neoplasm of retina
28148,B540.00,Malignant neoplasm of adrenal gland
28163,B13z.00,Malignant neoplasm of colon NOS
28241,B496.00,Malignant neoplasm of ureteric orifice
28272,BB57.00,"[M]Adenocarcinoma, intestinal type"
28276,B675.00,Acute myelofibrosis
28291,BB69.00,[M]Sebaceous adenoma and adenocarcinoma
28311,B41z.00,Malignant neoplasm of cervix uteri NOS
28451,B08z.00,Malignant neoplasm of hypopharynx NOS
28556,B32z.00,Malignant melanoma of skin NOS
28559,B055z00,Malignant neoplasm of palate NOS
28625,BB71.00,[M]Mucoepidermoid carcinoma
28639,B627000,Follicular non-Hodgkin's small cleaved cell lymphoma
28665,B07z.00,Malignant neoplasm of nasopharynx NOS
28727,B575000,Secondary malignant neoplasm of colon
28919,B521.00,Malignant neoplasm of cerebral meninges
28941,BBQ3.00,[M]Embryonal carcinoma NOS
29008,BB5W111,[M]Hurthle cell adenocarcinoma
29160,B313000,Malignant neoplasm of connective and soft tissue of axilla
29170,BB51000,[M]Adenocarcinoma in situ in villous adenoma
29178,B614.00,"Hodgkin's disease, nodular sclerosis"
29283,B2zy.00,Malignant neoplasm of other site of respiratory tract
29462,B4Az.00,Malignant neoplasm of kidney or urinary organs NOS
29580,BBCA.00,[M]Sertoli cell carcinoma
29735,B30..12,Osteoma
29787,BB2C.00,"[M]Squamous cell carcinoma, keratinising type NOS"
29826,B342.00,Malignant neoplasm of upper-inner quadrant of female breast
29876,B613z00,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
29898,B832.00,Carcinoma in situ of other and unspecified parts of uterus
29945,BBR4.00,"[M]Malignant teratoma, trophoblastic"
29975,B804100,Carcinoma in situ of rectum
30165,B18y200,Malignant neoplasm of mesorectum
30189,BB91000,[M]Intraductal papillary adenocarcinoma with invasion
30402,B050.11,Malignant neoplasm of buccal mucosa
30416,BB82111,[M]Colloid adenocarcinoma
30511,B54..00,Malig neop of other endocrine glands and related structures
30526,Byu5100,"[X]Mesothelioma, unspecified"
30542,B312300,Malig neop of connective and soft tissue of lower leg
30632,B67z.00,Other specified leukaemia NOS
30646,B6y..00,Malignant neoplasm lymphatic or haematopoietic tissue OS
30700,B10z.00,Malignant neoplasm of oesophagus NOS
30966,B800600,Carcinoma in situ of palate
30988,BB1M.00,"[M]Small cell carcinoma, intermediate cell"
31004,BB2G.00,[M]Adenoid squamous cell carcinoma
31102,B49z.00,Malignant neoplasm of urinary bladder NOS
31188,B224.00,"Malignant neoplasm of lower lobe, bronchus or lung"
31210,B150100,Hepatoblastoma of liver
31268,B223.00,"Malignant neoplasm of middle lobe, bronchus or lung"
31324,B626800,Mast cell malignancy of lymph nodes of multple sites
31364,B050.00,Malignant neoplasm of cheek mucosa
31393,B160.11,Carcinoma gallbladder
31399,B555.00,Malignant neoplasm of lower limb NOS
31546,B341.00,Malignant neoplasm of central part of female breast
31573,B23..00,Malignant neoplasm of pleura
31574,BBb0.00,"[M]Glioma, malignant"
31576,B627B00,Other types of follicular non-Hodgkin's lymphoma
31586,B64y100,Prolymphocytic leukaemia
31608,B43y.00,Malignant neoplasm of other site of uterine body
31609,BBC4.00,"[M]Granulosa cell tumour, malignant"
31673,BBX1.12,"[M]Osteoclastoma, malignant"
31700,B222000,Malignant neoplasm of upper lobe bronchus
31701,B651.11,Chronic granulocytic leukaemia
31726,BBgM.00,"[M]Malignant lymphoma, small cleaved cell, diffuse"
31755,G240.00,Secondary malignant hypertension
31794,B627W00,Unspecified B-cell non-Hodgkin's lymphoma
31860,B810600,Carcinoma in situ of aryepiglottic fold
31893,B803600,Carcinoma in situ of ascending colon
32022,B110.00,Malignant neoplasm of cardia of stomach
32024,B030.00,Malignant neoplasm of upper gum
32174,B202.00,Malignant neoplasm of maxillary sinus
32213,BB0A.00,"[M]Malignant tumour, fusiform cell type"
32249,B822.11,Carcinoma in situ of ear
32294,BB5B500,"[M]Glucagonoma, malignant"
32351,44a4.00,Squamous cell carcinoma antigen level
32362,B113.00,Malignant neoplasm of fundus of stomach
32372,B302100,Malignant neoplasm of thoracic vertebra
32472,BB9H.00,[M]Inflammatory carcinoma
32641,BB5RA00,[M]Merkel cell carcinoma
32768,B325100,Malignant melanoma of breast
32955,B41y.00,Malignant neoplasm of other site of cervix
33271,B332200,Malignant neoplasm of pinna NEC
33333,B62..00,Other malignant neoplasm of lymphoid and histiocytic tissue
33344,B65z.00,Myeloid leukaemia NOS
33388,B071000,Malignant neoplasm of adenoid
33395,B560200,Secondary and unspec malig neop superficial cervical LN
33444,B221100,Malignant neoplasm of hilus of lung
33497,BB2J.00,"[M]Squamous cell carcinoma, microinvasive"
33561,B803z00,Carcinoma in situ of colon NOS
33617,B43z.00,Malignant neoplasm of body of uterus NOS
33636,BBQ7200,"[M]Teratoma, malignant, NOS"
33775,BB5J.00,[M]Adenoid cystic carcinoma
33833,B301.00,Malignant neoplasm of mandible
33843,B583.00,Secondary malignant neoplasm of brain and spinal cord
33869,BBgR.00,"[M]Malignant lymphoma, large cell, diffuse NOS"
33871,B122.00,Malignant neoplasm of ileum
33897,BB4z.00,[M]Transitional cell papilloma or carcinoma NOS
34000,BB80100,[M]Cystadenocarcinoma NOS
34012,B08..00,Malignant neoplasm of hypopharynx
34015,BB5S200,[M]Bronchiolo-alveolar adenocarcinoma
34075,B2...00,Malig neop of respiratory tract and intrathoracic organs
34089,B62y400,Malignant lymphoma NOS of lymph nodes of axilla and arm
34096,BB5b.00,[M]Granular cell carcinoma
34110,BB5R100,"[M]Carcinoid tumour, malignant"
34145,B58y600,Secondary malignant neoplasm of testis
34259,B325300,Malignant melanoma of groin
34269,BB69100,[M]Sebaceous adenocarcinoma
34388,B17z.00,Malignant neoplasm of pancreas NOS
34395,BB24.00,[M]Verrucous carcinoma NOS
34409,B010000,Malignant neoplasm of base of tongue dorsal surface
34451,B31..00,Malignant neoplasm of connective and other soft tissue
34692,B68y.00,Other leukaemia of unspecified cell type
34742,B23z.00,Malignant neoplasm of pleura NOS
34823,B800500,Carcinoma in situ of cheek
34878,B308300,Malignant neoplasm of medial cuneiform
34879,BB5J.11,[M]Cylindroid adenocarcinoma
34926,B625.00,Letterer-Siwe disease
34946,B833200,Carcinoma in situ of vagina
34984,BB80.00,[M]Cystadenoma and carcinoma
35014,B622.00,Sezary's disease
35039,B163.00,"Malignant neoplasm, overlapping lesion of biliary tract"
35053,B57..00,Secondary malig neop of respiratory and digestive systems
35058,B812100,Carcinoma in situ of main bronchus
35113,Byu9.00,[X]Malignant neoplasm of urinary tract
35136,B8z..00,Carcinoma in situ NOS
35180,Byu1.00,[X]Malignant neoplasm of digestive organs
35186,ByuC.00,"[X]Malignant neoplasm of ill-defined, secondary and unspeci"
35285,ByuA.00,"[X]Malignant neoplasm of eye, brain and other parts of cent"
35325,Byu2.00,[X]Malignant neoplasm of respiratory and intrathoracic orga
35348,BB5T100,[M]Papillary adenocarcinoma NOS
35357,B14..00,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
35364,B576000,Secondary malignant neoplasm of retroperitoneum
35474,BB1C.00,[M]Giant cell carcinoma
35535,B173.00,Malignant neoplasm of pancreatic duct
35772,B810000,Carcinoma in situ of thyroid cartilage
35795,B174.00,Malignant neoplasm of Islets of Langerhans
35875,B66..00,Monocytic leukaemia
35963,B492.00,Malignant neoplasm of lateral wall of urinary bladder
36031,BB5D.00,[M]Hepatobiliary tract adenomas and carcinomas
36104,B800700,Carcinoma in situ of nasopharynx
36114,BBg1.00,[M]Malignant lymphoma NOS
36147,B153.00,Secondary malignant neoplasm of liver
36161,B012.00,"Malignant neoplasm of tongue, tip and lateral border"
36200,B575z00,Secondary malig neop of large intestine or rectum NOS
36325,B470300,Teratoma of undescended testis
36371,B225.00,Malignant neoplasm of overlapping lesion of bronchus & lung
36401,B587.00,Secondary malignant neoplasm of adrenal gland
36495,B161211,Carcinoma common bile duct
36530,BB5S211,[M]Alveolar cell carcinoma
36716,B04z.00,Malignant neoplasm of floor of mouth NOS
36731,B331000,Malignant neoplasm of canthus
36876,BB5V311,[M]Eosinophil carcinoma
36882,BB5X.00,[M]Clear cell adenomas and adenocarcinomas
36899,B327800,Malignant melanoma of toe
36948,B810100,Carcinoma in situ of cricoid cartilage
