prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
34158,194,70557020,Unilet G superlite type A Lancet sterile single use AT0455 0.66mm/23gauge (Owen Mumford Ltd),,0.66mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
1588,148490,49830020,Actrapid 100iu/ml Injection (Novo Nordisk Ltd),Insulin Soluble Human,100iu/ml,Injection,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
14642,3135,81806020,"Bd m 0.3ml Insulin syringe with 29gauge needle 12mm (Becton, Dickinson UK Ltd)",,0.3ml,Insulin Syringe With 29gauge Needle 12mm,,6010103,Diabetes Hypodermic Equipment,Feb-09
36066,8,90457020,Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges,Insulin isophane bovine,100unit/1ml,Suspension for injection,Subcutaneous/Intramuscular,6010102,Intermediate- And Long-acting Insulins,Feb-09
8203,3002,69694020,Penmix 50/50 100iu/ml Penfill (Novo Nordisk Ltd),Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
1273,53006,66312020,Monolet type A Lancet sterile single use 0.8mm/21gauge (Sherwood Davis & Geck),,0.8mm/21gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
35325,40,98043020,"Microlance sterile Hypodermic needle 0.5mm/23G/inch (Becton, Dickinson UK Ltd)",,0.5mm/23g/1 Inch,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
11271,3641,74847020,"B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)",,1ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
57564,45,6425020,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Oct-13
31205,386,90243020,Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
53251,1,39935020,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Jan-13
18592,68,90463020,Insulin soluble bovine 100units/ml solution for injection 10ml vials,Insulin soluble bovine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
9260,3673,66958020,"BD Micro-Fine Plus type A Lancet sterile single use 0.36mm/28gauge (Becton, Dickinson UK Ltd)",,0.36mm/28gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
7318,192633,90311020,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
6958,298705,87908020,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin detemir,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
57529,87,6412020,Humalog 100units/ml solution for injection 10ml vials (Dowelhurst Ltd),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Oct-13
16700,38,63793020,Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection,Insulin Zinc Suspension Mixed Bovine,100unit/ml,Sterile Suspension Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
44251,1,79955020,Insulin zinc suspension mixed porcine 100unit/ml Injection,Pork Insulin,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Jan-11
35468,136,90281020,Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
38986,45232,95966020,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
10067,2523,83427020,Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection,Insulin Aspart/Insulin Aspart Protamine,30:70; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
28101,517,90341020,Insulin glulisine 100units/ml solution for injection 10ml vials,Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
27396,44,90445020,Insulin soluble porcine 100units/ml solution for injection 10ml vials,Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
4199,10539,59679020,Humulin m1 100unit/ml M1 injection (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100unit/ml,M1 Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
64460,3,53109021,Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,,,,,6010102,Intermediate- And Long-acting Insulins,Oct-15
9376,296,63802020,Insulin zinc suspension crystalline human pyr 100unit/ml long acting Injection,Insulin Zinc Suspension Crystalline Human,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
1591,140347,55114020,U100 Insulin syringe 1ml,,1ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
45858,2,74441020,U100 Screw cap,,,Screw Cap,,06010103/59040000,Diabetes Hypodermic Equipment/-,Aug-11
46001,6360,99839020,Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pen (Sanofi),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Aug-11
11155,1743,67217020,Unilet G superlite type A Lancet sterile single use AT0450 0.66mm/23gauge (Owen Mumford Ltd),,0.66mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
24002,535,90255020,Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi),Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
9737,13148,82035020,Insulatard innolet 100iu/ml Injection (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
21554,527,78682020,Insuman comb 50 100iu/ml Injection (Aventis Pharma),Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
26060,1412,90303020,Insulin lispro 100units/ml solution for injection 10ml vials,Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
11107,3721,59684020,Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100unit/ml,M4 Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
10887,1705,69774020,Penmix 40/60 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
16682,10,54038020,Tempulin 100unit/ml Injection (Knoll Ltd),Insulin zinc suspension mixed bovine,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
3551,32024,79666020,Mixtard 20 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Penfill,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
1840,73773,49847020,Humulin s 100unit/ml Injection (Eli Lilly and Company Ltd),Insulin Soluble Human,100unit/ml,Injection,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
5250,2931,82442020,Insulin biphasic lispro human prb 25:75; 100 units/ml Injection,Insulin Lispro/Insulin Lispro Protamine,25:75; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
55603,1,6427020,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (DE Pharmaceuticals),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Jun-13
22155,42,79711020,Humaject m5 100iu/ml M5 pen (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,M5 Pen,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
56489,77,12566020,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),Insulin aspart/Insulin aspart protamine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Aug-13
11056,11288,80960020,Insulin biphasic isophane human pyr 30:70; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,30:70; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
60933,7,12591020,Humulin M3 100units/ml suspension for injection 10ml vials (Sigma Pharmaceuticals Plc),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Aug-14
10133,2102,91036020,U100 Insulin syringe 1ml,,1ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
17377,168,78022020,Novopen inj device Injection device (Novo Nordisk Ltd),,,Injection Device,,6010103,Diabetes Hypodermic Equipment,Feb-09
17731,977,74965020,Penmix 50/50 100iu/ml Injection (Novo Nordisk Ltd),Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
20995,4687,90443020,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),Insulin isophane porcine/Insulin soluble porcine,70unit/1ml + 30unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010151,Biphasic Insulins,Feb-09
19513,18526,90215020,Humulin M3 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
33964,17,72989020,Unilet universal comfortouch type B Lancet sterile single use AT460 0.45mm/26gauge (Owen Mumford Ltd),,0.45mm/26gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
11346,2203,74812020,"B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)",,0.3ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
5892,572544,79182020,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
7349,18567,90191020,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
1649,14303,58580020,Human actraphane 100iu/ml Injection (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
36648,22,98041020,Sterile single use hypodermic Needle 0.5mm/23gauge,,0.5mm/23gauge,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
22058,0,70187020,Pur-in mix 15/85 Injection (C P Pharmaceuticals Ltd),Insulin Soluble Human/Insulin Isophane Human,,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
39006,48586,95964020,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
5962,615,78836020,Humapen inj device Injection device (Eli Lilly and Company Ltd),,,Injection Device,,6010103,Diabetes Hypodermic Equipment,Feb-09
55910,331,47928020,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),Insulin degludec,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Aug-13
43991,69478,98795020,Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010151,Biphasic Insulins,Dec-10
14938,21,90465020,Insulin soluble bovine cartridge 100unit/ml Solution for injection,Insulin Soluble Bovine,100unit/ml,Solution For Injection,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
14649,495,80958020,Insulin biphasic isophane human pyr 10:90; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,10:90; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
52522,1,12634020,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (DE Pharmaceuticals),Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jan-13
29677,10,70990020,Cleanlet 25 xl type B Lancet sterile single use 0.5mm/25gauge (Gainor Medical Europe),,0.5mm/25gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
9998,3555,80702020,Pen Injector screw on hypodermic needle 6.2mm to 9.9mm,,Length Between 6.2mm And 9.9mm,Injector Screw On Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
2929,164340,79671020,Mixtard 30 100iu/ml GE injection (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Ge Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
55618,1,17903020,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc),Insulin detemir,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jun-13
55234,835,47932020,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin degludec,200unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,May-13
27461,2939,90279020,Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
9287,1373,73137020,Baylet Lancet sterile single use 0.5mm/25gauge (Bayer Diagnostics Manufacturing Ltd),,0.5mm/25gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
33966,3942,55079020,Insulatard 100unit/ml Injection (Novo Nordisk Ltd),Insulin Isophane Human,100unit/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
35260,9515,93242020,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin detemir,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
6965,196591,87906020,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),Insulin detemir,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
27177,174,82443020,Insulin biphasic lispro human prb 50:50; 100 units/ml Injection,Insulin Lispro/Insulin Lispro Protamine,50:50; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
1275,51397,76099020,Softclix Lancet sterile single use 0.8mm/21gauge (Roche Diagnostics Ltd),,0.8mm/21gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
6061,173143,83429020,Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd),Insulin Aspart/Insulin Aspart Protamine,30/70 100units/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
40389,75,72940020,Unilet universal comfortouch type B Lancet sterile single use AT465 0.45mm/26gauge (Owen Mumford Ltd),,0.45mm/26gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Sep-09
4760,136538,49843020,Humulin i 100unit/ml Injection (Eli Lilly and Company Ltd),Insulin Isophane Human,100unit/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
53118,4,12564020,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Mawdsley-Brooks & Company Ltd),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Jan-13
14301,14830,90323020,Insulin detemir 100units/ml solution for injection 3ml cartridges,Insulin detemir,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
35218,144,97811020,Optipen pro 1 yellow insulin pen 3ml/1-60 units 3ml/1-60 units Insulin pen (Aventis Pharma),,3ml/1-60 Units,Insulin Pen,,6010103,Diabetes Hypodermic Equipment,Feb-09
14313,6969,90305020,Insulin lispro 100units/ml solution for injection 3ml cartridges,Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
2454,397360,79669020,Mixtard 30 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Penfill,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
64354,82,53110021,Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pen (Sanofi),Insulin glargine,300unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Oct-15
1806,46639,74874020,Penmix 30/70 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
27280,396,90437020,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials,Insulin soluble porcine/Insulin isophane porcine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous/Intramuscular,6010151,Biphasic Insulins,Feb-09
8939,71,55220020,Carrying case spec 17a hypodermic syringe,,,Hypodermic Syringe,,06010103/59040000,Diabetes Hypodermic Equipment/-,Feb-09
8322,616,63796020,Insulin zinc suspension mixed human pyr 100unit/ml Injection,Insulin Zinc Suspension Crystalline Human/Insulin Zinc Suspension Mixed Human,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
5222,6049,75986020,Softclix Lancing device (Roche Diagnostics Ltd),,,Lancing Device,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
15358,895,80704020,Pen Injector screw on hypodermic needle = or > 10mm,,Length Equal Or Greater Than 10mm,Injector Screw On Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
44248,14,70561020,Unilet G superlite type A Lancet sterile single use AT0450 0.66mm/23gauge (Owen Mumford Ltd),,0.66mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Jan-11
35552,1,90665020,Neoject Hypodermic needle 0.4mm/27gauge (Neomedic Ltd),,0.4mm/27gauge,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
10145,12295,94794020,Humapen luxura insulin pen 3ml/1-60 units Insulin pen 3ml/1-60 units (Eli Lilly and Company Ltd),,3ml/1-60 Units,Insulin Pen,,6010103,Diabetes Hypodermic Equipment,Feb-09
12676,2616,55074020,General purpose lancet,,,Lancet-sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
36853,495727,93946020,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
26403,169,70184020,Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd),Insulin Soluble Human/Insulin Isophane Human,,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
10484,2885,70082020,Penmix 20/80 Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,,Penfill,,6010102,Intermediate- And Long-acting Insulins,Feb-09
