medcode,readcode,readterm,
85960,44Cz.00,Plasma pregnancy associated plasma protein-A MoM,
100151,46J4.00,Urine pregnanediol titre,
104440,4Q3N.00,Pregnancy associated plasma protein A level,
20591,539..00,Abdominal obstetric X-ray,
53409,539..11,Obstet. X-ray abdomen,
23169,539Z.00,Abdominal obstetric X-ray NOS,
35558,584..12,"U-S scan - obstetric, diagn.",
13965,584..13,Ultra-sound scan - obstetric,
16613,584C.00,Antenatal ultrasound result received,
13968,584D.00,Antenatal ultrasound confirms intra-uterine pregnancy,
13984,584E.00,Antenatal ultrasound confirms ectopic pregnancy,
13975,584F.00,Antenatal scan unable to confirm pregnancy,
23421,615C.00,IUD failure - pregnant,
29692,615C.11,"Pregnant, IUD failure",
127,62...00,Patient pregnant,
294,62...11,Antenatal care,
5709,62...13,Pregnancy care,
13165,621..00,Patient currently pregnant,
4536,621..11,Pregnancy confirmed,
15338,621A.00,Pregnancy unplanned ? wanted,
14877,621B.00,Pregnant - ? planned,
7517,621C.00,Unplanned pregnancy,
14899,621Z.00,Patient pregnant NOS,
21543,622..00,Antenatal care: gravida No.,
49617,622Z.00,Antenatal care: gravida NOS,
9546,623..00,A/N care: obstetric risk,
26690,623Z.00,A/N care: obstetric risk NOS,
35509,624..00,A/N care: precious pregnancy,
35514,624Z.00,A/N care: precious preg. NOS,
51698,629..00,No ante-natal care,
73032,629Z.00,No ante-natal care NOS,
17947,62a..00,Pregnancy review,
90776,62a..11,Review of pregnancy,
18536,62b..00,Antenatal HIV screening,
28732,62c..00,Antenatal screening,
13819,62F..00,Antenatal amniocentesis,
51432,62FZ.00,Antenatal amniocentesis NOS,
2029,62G..00,Antenatal ultrasound scan,
14085,62GB.00,Antenatal ultrasounds scan at 4-8 weeks,
14084,62GC.00,Antenatal ultrasound scan at 9-16 weeks,
27056,62GD.00,Antenatal ultrasound scan at 17-22 weeks,
39611,62GE.00,Antenatal ultrasound scan at 22-40 weeks,
14083,62GZ.00,Antenatal ultrasound scan NOS,
69815,62H3.00,Rh screen - 1st preg. sample,
29623,62H4.00,Rh screen - 2nd preg. sample,
50383,62I..00,Alpha-feto protein blood test,
21957,62I..11,AFP test - antenatal,
25391,62I..12,Alpha-feto protein test - A/N,
13417,62K..00,Antenatal syphilis screen,
42326,62KZ.00,Antenatal syphilis screen NOS,
13419,62L..00,Antenatal blood group screen,
13416,62M..00,Antenatal sickle cell screen,
10056,62N..00,Antenatal examinations,
13168,62NZ.00,Antenatal examination NOS,
45032,62O..00,Misc. antenatal data,
20118,62O..12,Static weight gain pregnancy,
24063,62O7.00,Pregnancy prolonged - 41 weeks,
44734,62O8.00,Pregnancy prolonged - 42 weeks,
30801,62OZ.00,Misc. antenatal data NOS,
17893,62Q..00,Postnatal care provider,
65188,62Q4.00,No post natal care,
19544,62Q6.00,Postnatal care,
15672,62QZ.00,Post natal care NOS,
13585,62R..00,Postnatal visits,
13587,62RZ.00,Postnatal visit NOS,
5071,62S..11,Postnatal exam. - maternal,
29287,62S6.00,Postnatal examination minor problem found,
4180,62S7.00,Postnatal examination normal,
37675,62T..00,Misc. postnatal data,
51806,62TZ.00,Misc. post natal data NOS,
13418,62W..00,Antenatal blood tests,
18810,62X..00,Length of gestation,
26555,62X0.00,Gestation <24 weeks,
34484,62X1.00,Gestation = 24 weeks,
26556,62X2.00,Gestation >24 weeks,
34505,62X3.00,Full term gestation - 40 weeks,
40859,62X4.00,Length of gestation at birth,
45091,62Y..00,Routine antenatal care,
46577,66AX.00,Diabetes: shared care in pregnancy - diabetol and obstet,
35484,679E.00,Antenatal education,
5778,67A..00,Pregnancy advice,
43140,67A2.00,Diet in pregnancy advice,
10184,67A3.00,Pregnancy smoking advice,
36235,67A4.00,Pregnancy exercise advice,
35859,67A5.00,Pregnancy alcohol advice,
30351,67A6.00,Drugs in pregnancy advice,
38556,67A7.00,Pregnancy dental advice,
49193,67A7.11,Care of teeth advice -in preg.,
94804,67AB.00,Preg. prescription exempt adv.,
97034,67AE.00,Folic acid advice in first trimester of pregnancy,
102359,67AF.00,Pregnancy advice for patients with epilepsy,
104542,67AH.00,Education about toxoplasmosis precautions during pregnancy,
36903,67AZ.00,Pregnancy advice NOS,
34253,67C..00,Postnatal support group,
97523,68b..00,Antenatal screening status,
98481,68b4.00,Repeat antenatal screening required,
99475,68b5.00,Antenatal screening result pending,
97259,68b6.00,Antenatal screening declined,
55111,6B22.00,Sure Start antenatal visit,
43416,6B23.00,Sure Start postnatal visit,
12773,6G...00,Postnatal care,
11817,6G0..00,Postnatal counselling,
18702,6G00.00,Postnatal depression counselling,
63407,7D10300,Non obstetric episiotomy NEC,
2924,7E06600,Hysterotomy and termination of pregnancy,
18944,7E07011,Dilation cervix uteri & curettage for termination pregnancy,
103059,7E07111,Curettage of term pregnancy NEC,
16384,7E07113,Curettage of uterus for termination of pregnancy NEC,
45862,7E07114,Curettage of uterus for termination of pregnancy NEC,
1748,7E08400,Suction termination of pregnancy,
21438,7E08411,Vacuum termination of pregnancy,
5357,7E08500,Dilation of cervix and extraction termination of pregnancy,
1686,7E08600,Termination of pregnancy NEC,
4708,7E08800,Dilation and curettage removal of missed abortion,
68683,7E0B.00,Introduction of abortifacient into uterine cavity,
23357,7E0B100,Intraamniotic injection of abortifacient NEC,
38473,7E0B400,Insertion of prostaglandin abortifacient pessary,
55278,7E0B500,Insertion of abortifacient pessary NEC,
99205,7E0Bz00,Introduction of abortifacient into uterine cavity NOS,
54609,7E0F200,Manual manipulation of non pregnant uterus,
27672,7E13100,Excision of ectopic ovarian pregnancy,
11986,7E13300,Excision of ruptured ectopic tubal pregnancy,
29122,7E19011,Removal of ectopic pregnancy from fallopian tube,
40279,7E19012,Fimbrial extraction of tubal pregnancy,
39036,7F...00,Obstetric operations,
30302,7F...12,Pregnancy operations,
1850,7F06012,Shirodkar suture in pregnancy,
34046,7F2..00,Other obstetric operations,
47231,7F22700,Pack to control postnatal vaginal bleeding,
54099,7F22711,Pack to control postnatal vaginal bleeding,
93190,7F22712,Pack to control postnatal haemorrhage,
57891,7F23.00,Immediate repair of obstetric laceration,
23800,7F23.11,Immediate repair of obstetric tear,
11268,7F23.12,Immediate suture of obstetric laceration,
34677,7F23000,Immed repair obstetric laceration of uterus or cervix uteri,
31375,7F23200,Immed repair obstetric laceration vagina and floor of pelvis,
70607,7F23300,Immediate repair of minor obstetric laceration,
61173,7F23y00,Other specified immediate repair of obstetric laceration,
35601,7F23z00,Immediate repair of obstetric laceration NOS,
86021,7F24.00,Other obstetric operations,
50516,7F24000,Secondary repair of obstetric laceration,
45912,7F24y00,Other specified other obstetric operation,
66471,7F24z00,Other obstetric operation NOS,
53094,7F25y00,Other specified obstetric monitoring,
29087,7F25z00,Obstetric monitoring NOS,
86011,7F26.00,Routine obstetric scan,
96343,7F26y00,Other specified routine obstetric scan,
85245,7F26z00,Routine obstetric scan NOS,
85992,7F27.00,Non routine obstetric scan for fetal observations,
98261,7F27y00,OS non routine obstetric scan for fetal observations,
95875,7F27z00,Non routine obstetric scan for fetal observations NOS,
78449,7F28.00,Other non routine obstetric scan,
95698,7F28y00,Other specified other non routine obstetric scan,
85951,7F28z00,Other non routine obstetric scan NOS,
88229,7F2A.00,Obstetric Doppler studies,
87844,7F2A000,Obstetric umbilical artery Doppler,
94059,7F2Az00,Obstetric Doppler studies NOS,
85244,7F2B.00,Obstetric ultrasound monitoring,
12837,7F2B100,Ultrasound monitoring of early pregnancy,
87848,7F2Bz00,Obstetric ultrasound monitoring NOS,
57220,7F2y.00,Other specified obstetric operations,
62012,7F2z.00,Other obstetric operations NOS,
34086,7Fz..00,Obstetric operations NOS,
69356,7L0D100,Correction of obstetric palsy,
62279,7L0D114,L'Episcopo operation for obstetric palsy,
37386,8B68.00,Pregnancy prophylactic therapy,
15065,8B7..11,Pregnancy vitamin/iron prophyl,
10775,8B74.00,Iron supplement in pregnancy,
29746,8B75.00,Vitamin supplement - pregnancy,
102635,8Cg..00,Pregnancy termination care,
36164,8E9Z.00,Post-natal exercises,
24655,8H27.00,Admit obstetric emergency,
22929,8H3C.00,Non-urgent obstetric admission,
11988,8H57.00,Obstetric referral,
102494,8Hh3.00,Self referral to termination of pregnancy service,
13672,8HHf.00,Refer to early pregnancy unit,
11989,8HHV.00,Referral for termination of pregnancy,
103683,8Hki.00,Referral to teenage pregnancy and parenting support service,
35197,8HLN.00,Obstetric D.V. done,
48200,8HMN.00,Listed for Obstetric admission,
444,8HT9.00,Referral to antenatal clinic,
17000,8HTA.00,Referral to postnatal clinic,
39447,8I3G.00,Edinburgh postnatal depression scale declined,
102191,8IAi.00,Pregnancy advice for patients with epilepsy declined,
102375,8IB4.00,Pregnancy advice for patients with epilepsy not indicated,
106268,8IEc.00,Pertussis vaccination in pregnancy declined,
2278,8M6..00,Requests pregnancy termination,
36340,938..00,Obstetric coop card,
60870,938Z.00,Obstetric coop card NOS,
62367,953A.00,Part post-natal care-3 visits,
69630,953B.00,Part post-natal care-4 visits,
69623,953C.00,Part post-natal care-5 visits,
53027,953D.00,Full post-natal examination,
22183,957..11,Prescription exempt form-preg,
100104,95B..00,Health in Pregnancy grant claim form issued,
24303,9Ea..00,Reason for termination of pregnancy,
98133,9Ea0.00,Risk life pregnant woman greater than if pregnancy terminatd,
25230,9Ea2.00,Less 24 wk involv risk injury physic/mentl health preg woman,
106618,9kv..00,Pertussis vaccinatn progrme pregnant women enhan srvce admin,
106378,9mK..00,Pertussis vaccination in pregnancy invitation,
106735,9mK0.00,Pertussis vaccination in pregnancy invitation first letter,
106736,9mK1.00,Pertussis vaccination in pregnancy invitation second letter,
106737,9mK2.00,Pertussis vaccination in pregnancy invitation third letter,
21345,9N05.00,Seen in postnatal clinic,
6095,9N1N.00,Seen in antenatal clinic,
36000,9N1y400,Seen in postnatal clinic,
106957,9Nif.00,Did not attend pertussis vaccination in pregnancy,
103610,9NkN.00,Seen in early pregnancy unit,
94071,9NV0.00,Postnatal clinic,
56967,9NV1.00,Antenatal clinic,
46730,A370.00,Obstetrical tetanus,
24525,E201C00,Phantom pregnancy,
6071,E202E00,Fear of pregnancy,
2639,E204.11,Postnatal depression,
13307,Eu53011,[X]Postnatal depression NOS,
28485,G856.00,Vulval varices - non obstetric,
60179,J004500,Postnatal enamel hypoplasia,
65395,K181.11,Postobstetric urethral stricture,
35926,K54y300,Old uterine laceration due to obstetric cause,
11152,L....00,"Complications of pregnancy, childbirth and the puerperium",
32073,L0...00,Pregnancy with abortive outcome,
48552,L010.11,Anembryonic pregnancy,
1737,L02..00,Missed abortion,
12241,L02..11,Missed miscarriage,
96949,L02..12,Silent miscarriage,
1744,L03..00,Ectopic pregnancy,
54866,L030.00,Abdominal pregnancy,
65783,L030000,Delivery of viable fetus in abdominal pregnancy,
21849,L031.00,Tubal pregnancy,
44729,L031000,Fallopian tube pregnancy,
3874,L031200,Tubal abortion,
50512,L031z00,Tubal pregnancy NOS,
59276,L032.00,Ovarian pregnancy,
58156,L03y.00,Other ectopic pregnancy,
52221,L03y000,Cervical pregnancy,
32950,L03y100,Cornual pregnancy,
21467,L03y200,Membranous pregnancy,
106267,L03y300,Combined or heterotopic pregnancy,
61995,L03yz00,Other ectopic pregnancy NOS,
33724,L03z.00,Ectopic pregnancy NOS,
3082,L04..00,Spontaneous abortion,
165,L04..11,Miscarriage,
42458,L040.00,Spontaneous abortion unspecified,
72307,L040000,Unspec spontaneous abortion + genital tract/pelvic infection,
40258,L040011,Spontaneous abortion with sepsis,
68511,L040100,Unspec spontaneous abortion + delayed/excessive haemorrhage,
45340,L040111,Spontaneous abortion with heavy bleeding,
99955,L040400,Unspecified spontaneous abortion with metabolic disorder,
48603,L040900,Inevitable miscarriage,
68669,L040w00,Unspec spontaneous abortion + other specified complication,
68938,L040y00,Unspec spontaneous abortion without mention of complication,
56562,L040z00,Unspecified spontaneous abortion NOS,
7413,L041.00,Spontaneous abortion incomplete,
67699,L041000,Incomp spontaneous abortion + genital tract/pelvic infection,
41783,L041100,Incomp spontaneous abortion + delayed/excessive haemorrhage,
56828,L041w00,Incomp spontaneous abortion + other specified complication,
68740,L041x00,Incomplete spontaneous abortion with complication NOS,
50653,L041y00,Incomp spontaneous abortion with no mention of complication,
29439,L041z00,Incomplete spontaneous abortion NOS,
30276,L041z11,Retained products after spontaneous abortion,
7817,L042.00,Spontaneous abortion complete,
99736,L042000,Complete spontaneous abortion + genital tract/pelvic infect,
94359,L042w00,Complete spontaneous abortion + other specified complication,
63778,L042x00,Complete spontaneous abortion with complication NOS,
56325,L042y00,Complete spontaneous abortion + no mention of complication,
29940,L042z00,Complete spontaneous abortion NOS,
8173,L043.00,Inevitable abortion unspecified,
11234,L043.11,Inevitable miscarriage unspecified,
94270,L043x00,Unspecified inevitable abortion with unspec complication,
99578,L043x11,Unspecified inevitable miscarriage with unspec complication,
66365,L043y00,Unspecified inevitable abortion with OS complication,
68110,L043z00,Unspecified inevitable abortion without complication,
7114,L044.00,Inevitable abortion incomplete,
17625,L044.11,Inevitable miscarriage incomp,
95625,L044200,Incomplete inevitable abortion complicated by embolism,
72593,L044x00,Incomplete inevitable abortion with unspecified complication,
94976,L044x11,Incomplete inevitable miscarriage with unspecified comp,
68311,L044y00,Incomplete inevitable abortion with OS complication,
92284,L044y11,Incomplete inevitable miscarriage with other specified comp,
51614,L044z00,Incomplete inevitable abortion without complication,
53836,L044z11,Incomplete inevitable miscarriage without complication,
33501,L045.00,Inevitable abortion complete,
11323,L045.11,Inevitable miscarriage complete,
59116,L045x00,Complete inevitable abortion with unspecified complication,
63777,L045y00,Complete inevitable abortion with OS complication,
57576,L045y11,Complete inevitable miscarriage with OS complication,
33989,L045z00,Complete inevitable abortion without complication,
55404,L045z11,Complete inevitable miscarriage without complication,
22379,L04z.00,Spontaneous abortion NOS,
2187,L05..00,Legally induced abortion,
60771,L05..11,Elective abortion,
255,L05..12,Termination of pregnancy,
31431,L05..13,Therapeutic abortion,
56822,L050.00,Legal abortion unspecified,
73445,L050000,Unspecified legal abortion + genital tract/pelvic infection,
47931,L050w00,Unspecified legal abortion with other specified complication,
41098,L050x00,Unspecified legal abortion with complication NOS,
70384,L050y00,Unspecified legal abortion with no mention of complication,
38415,L050z00,Unspecified legal abortion NOS,
12337,L051.00,Legal abortion incomplete,
39754,L051.11,Medal abortion - incomplete,
6730,L051.12,Surgical abortion - incomplete,
99195,L051000,Incomplete legal abortion + genital tract/pelvic infection,
68936,L051100,Incomplete legal abortion + delayed or excessive haemorrhage,
102576,L051711,Incomplete termination of pregnancy,
96652,L051w00,Incomplete legal abortion with other specified complication,
73443,L051y00,Incomplete legal abortion with no mention of complication,
28605,L051z00,Incomplete legal abortion NOS,
47298,L052.00,Legal abortion complete,
41379,L052.11,Medical abortion - complete,
49849,L052.12,Surgical abortion - complete,
69190,L052000,Complete legal abortion + genital tract or pelvic infection,
69183,L052100,Complete legal abortion with delayed/excessive haemorrhage,
99590,L052w00,Complete legal abortion with other specified complication,
67076,L052x00,Complete legal abortion with complication NOS,
50612,L052y00,Complete legal abortion with no mention of complication,
58085,L052z00,Complete legal abortion NOS,
33770,L05z.00,Legally induced abortion NOS,
41606,L06..00,Illegally induced abortion,
71289,L06..11,Criminal abortion,
49467,L06..12,Self-induced abortion,
71529,L060.00,Illegal abortion unspecified,
53229,L060z00,Unspecified illegal abortion NOS,
72229,L061.00,Illegal abortion incomplete,
94404,L061z00,Incomplete illegal abortion NOS,
66561,L062.00,Illegal abortion complete,
97991,L062w00,Complete illegal abortion with other specified complication,
96418,L06z.00,Illegally induced abortion NOS,
1439,L07..00,Unspecified abortion,
70643,L070.00,Unspecified abortion,
45806,L070x00,Unspecified abortion with complication NOS,
56224,L070z00,Unspecified abortion NOS,
1879,L071.00,Unspecified abortion incomplete,
59084,L071500,Unspecified incomplete abortion with shock,
25883,L071y00,Unspecified incomplete abortion + no mention of complication,
35184,L071z00,Unspecified incomplete abortion NOS,
29594,L072z00,Unspecified complete abortion NOS,
58137,L07z.00,Unspecified abortion NOS,
39470,L08..00,Failed attempted abortion,
41118,L08z.00,Failed attempted abortion NOS,
9585,L09..00,Complications following abortion/ectopic/molar pregnancies,
12320,L09..11,Complications following abortion/ectopic/molar pregnancies,
32007,L090.00,Genital or pelvic infection following abortive pregnancy,
30326,L090000,Endometritis following abortive pregnancy,
50571,L090100,Parametritis following abortive pregnancy,
51359,L090200,Pelvic peritonitis following abortive pregnancy,
47918,L090300,Salpingitis following abortive pregnancy,
59493,L090400,Salpingo-oophoritis following abortive pregnancy,
20152,L090y00,Sepsis NOS following abortion/ectopic/molar pregnancy,
23840,L090z00,Septicaemia NOS following abortive pregnancy,
20307,L091.00,Delayed/excessive haemorrhage following abortive pregnancy,
63362,L091100,Defibrination syndrome following abortive pregnancy,
64523,L091z00,Delayed/excess haemorrhage NOS following abortive pregnancy,
65085,L092000,Bladder damage following abortive pregnancy,
99933,L092100,Bowel damage following abortive pregnancy,
89557,L092300,Cervix damage following abortive pregnancy,
62052,L092500,Uterus damage following abortive pregnancy,
71314,L093.00,Renal failure following abortive pregnancy,
50093,L093000,Oliguria following abortive pregnancy,
70422,L093400,Uraemia following abortive pregnancy,
92415,L095.00,Shock following abortive pregnancy,
93583,L096.00,Embolism following abortive pregnancy,
63319,L096.11,Embolus following abortive pregnancy,
67006,L096400,Pulmonary embolism following abortive pregnancy,
94736,L096600,Septic embolism following abortive pregnancy,
35273,L097.00,Readmission for abortive pregnancy (NHS codes),
8996,L097000,"Readmis for retain products of concept, spontaneous abortion",
23693,L097100,"Readmission for retained produc of concept, legal abortion",
47435,L097200,"Readmission for retained produc of concept, illegal abortion",
21805,L097300,"Readmission for retained produc of concept, unspec abortion",
106097,L09y.00,Other specified complication following abortive pregnancy,
105918,L09y400,Urinary tract infection following abortive pregnancy,
64125,L09yz00,Other specified complication NOS follow abortive pregnancy,
25028,L09z.00,Complication NOS following abortion/ectopic/molar pregnancy,
49809,L0A..00,Failed attempted abortion,
47376,L0A1.00,Failed medical abortion complic by genital tract/pelvic infn,
50903,L0A2.00,Failed medical abortion comp by delayed/excessive haem'ge,
59572,L0A3.00,"Failed medical abortion, complicated by embolism",
33964,L0A4.00,"Failed medical abortion, without complication",
44650,L0y..00,Other specified pregnancy with abortive outcome,
44733,L0z..00,Pregnancy with abortive outcome NOS,
2638,L1...00,Pregnancy complications,
3766,L10..00,Haemorrhage in early pregnancy,
906,L100.00,Threatened abortion,
35701,L100000,Threatened abortion unspecified,
66227,L100100,Threatened abortion - delivered,
57852,L100200,Threatened abortion - not delivered,
25605,L100z00,Threatened abortion NOS,
24603,L10y.00,Other haemorrhage in early pregnancy,
9408,L10y.11,Bleeding in early pregnancy,
61301,L10y000,Other haemorrhage in early pregnancy unspecified,
105654,L10y100,Other haemorrhage in early pregnancy - delivered,
73917,L10y200,Other haemorrhage in early pregnancy - not delivered,
69327,L10yz00,Other haemorrhage in early pregnancy NOS,
14925,L10z.00,Early pregnancy haemorrhage NOS,
54107,L10z000,Early pregnancy haemorrhage NOS unspecified,
101260,L10z100,Early pregnancy haemorrhage NOS - delivered,
48304,L10z200,Early pregnancy haemorrhage NOS - not delivered,
41122,L10zz00,Early pregnancy haemorrhage NOS,
2034,L10zz11,Inevitable abortion,
9170,L12..00,Hypertension complicating pregnancy/childbirth/puerperium,
12604,L120.00,Benign essential hypertension in pregnancy/childbirth/puerp,
37344,L120000,Benign essential hypertension in preg/childb/puerp unspec,
44912,L120100,Benign essential hypertension in preg/childb/puerp - deliv,
97781,L120200,Benign ess hypert in preg/childb/puerp - deliv with p/n comp,
61408,L120300,Benign essential hypertension in preg/childb/puerp-not deliv,
73633,L120400,Benign essential hypertension in preg/childb/puerp +p/n comp,
34136,L120z00,Benign essential hypertension in preg/childb/puerp NOS,
93143,L121.00,Renal hypertension in pregnancy/childbirth/puerperium,
64127,L121000,Renal hypertension in pregnancy/childbirth/puerp unspecified,
71717,L121100,Renal hypertension in pregnancy/childbirth/puerp - delivered,
97349,L121300,Renal hypertension in preg/childbirth/puerp - not delivered,
94718,L121z00,Renal hypertension in pregnancy/childbirth/puerperium NOS,
66567,L122.00,Other pre-existing hypertension in preg/childbirth/puerp,
73586,L122000,Other pre-existing hypertension in preg/childb/puerp unspec,
72030,L122100,Other pre-existing hypertension in preg/childb/puerp - deliv,
96743,L122300,Other pre-exist hypertension in preg/childb/puerp-not deliv,
62432,L122z00,Other pre-existing hypertension in preg/childb/puerp NOS,
20439,L123.00,Transient hypertension of pregnancy,
55338,L123000,Transient hypertension of pregnancy unspecified,
54942,L123100,Transient hypertension of pregnancy - delivered,
67035,L123200,Transient hypertension of pregnancy - deliv with p/n comp,
71730,L123300,Transient hypertension of pregnancy - not delivered,
70342,L123400,Transient hypertension of pregnancy + postnatal complication,
21526,L123500,Gestational hypertension,
38882,L123600,Transient hypertension of pregnancy,
35646,L123z00,Transient hypertension of pregnancy NOS,
62919,L125200,Severe pre-eclampsia - delivered with postnatal complication,
62916,L125400,Severe pre-eclampsia with postnatal complication,
70487,L126200,Eclampsia - delivered with postnatal complication,
70891,L126400,Eclampsia with postnatal complication,
39117,L126500,Eclampsia in pregnancy,
44549,L128.00,Pre-exist hypertension compl preg childbirth and puerperium,
60655,L128000,Pre-exist hyperten heart dis compl preg childbth+puerperium,
52621,L128200,Pre-exist 2ndry hypertens comp preg childbth and puerperium,
34173,L12B.00,Proteinuric hypertension of pregnancy,
40723,L12z.00,Unspecified hypertension in pregnancy/childbirth/puerperium,
41949,L12z000,Unspecified hypertension in preg/childb/puerp unspecified,
44068,L12z100,Unspecified hypertension in preg/childb/puerp - delivered,
89561,L12z200,Unspecified hypertension in preg/childb/puerp -del +p/n comp,
3421,L12z300,Unspecified hypertension in preg/childb/puerp - not deliv,
35698,L12zz00,Unspecified hypertension in preg/childb/puerp NOS,
10185,L13..00,Excessive pregnancy vomiting,
15061,L13..12,Hyperemesis of pregnancy,
65555,L132.00,Late vomiting of pregnancy,
69011,L132000,Late pregnancy vomiting unspecified,
70476,L132100,Late pregnancy vomiting - delivered,
72019,L132200,Late pregnancy vomiting - not delivered,
101518,L132z00,Late pregnancy vomiting NOS,
27833,L13y.00,Other pregnancy vomiting,
41504,L13y000,Other pregnancy vomiting unspecified,
41504,L13y000,Other pregnancy vomiting unspecified,
99247,L13y200,Other pregnancy vomiting - not delivered,
41625,L13yz00,Other pregnancy vomiting NOS,
11760,L13z.00,Unspecified pregnancy vomiting,
73559,L13z000,Unspecified pregnancy vomiting unspecified,
73535,L13z100,Unspecified pregnancy vomiting - delivered,
53661,L13z200,Unspecified pregnancy vomiting - not delivered,
56451,L13zz00,Unspecified pregnancy vomiting NOS,
54596,L140200,False labour at or after 37 completed weeks of gestation,
24170,L15..00,Prolonged or post-term pregnancy,
23995,L15..11,Post-term pregnancy,
23373,L150.00,Post-term pregnancy,
67698,L150000,Post-term pregnancy unspecified,
30948,L150100,Post-term pregnancy - delivered,
67728,L150200,Post-term pregnancy - not delivered,
37163,L150z00,Post-term pregnancy NOS,
35855,L15z.00,Prolonged pregnancy NOS,
27740,L16..00,Other pregnancy complication NEC,
28107,L161.00,Oedema or excessive weight gain in pregnancy no hypertension,
12521,L161.11,Excessive weight gain in pregnancy,
29565,L161.13,Gestational oedema,
53921,L161000,"Oedema or excessive weight gain in pregnancy, unspecified",
61563,L161300,Oedema or excessive weight gain in pregnancy - not delivered,
61835,L161z00,Oedema or excessive weight gain in pregnancy NOS,
47080,L162.00,Unspecified renal disease in pregnancy,
23334,L162.11,Albuminuria in pregnancy without hypertension,
38312,L162.12,Nephropathy NOS in pregnancy without hypertension,
92579,L162.13,Uraemia in pregnancy without hypertension,
54938,L162000,Unspecified renal disease in pregnancy unspecified,
96724,L162100,Unspecified renal disease in pregnancy - delivered,
24944,L163300,Pregnancy care of habitual aborter,
65256,L164.00,Peripheral neuritis in pregnancy,
31162,L165.00,Asymptomatic bacteriuria in pregnancy,
98264,L165200,Asymptomatic bacteriuria in pregnancy - del with p/n comp,
105943,L165300,Asymptomatic bacteriuria in pregnancy - not delivered,
107225,L165z00,Asymptomatic bacteriuria in pregnancy NOS,
67975,L166.00,Genitourinary tract infections in pregnancy,
2602,L166.11,Cystitis of pregnancy,
27451,L166000,Genitourinary tract infection in pregnancy unspecified,
16017,L166100,Genitourinary tract infection in pregnancy - delivered,
15418,L166300,Genitourinary tract infection in pregnancy - not delivered,
98981,L166400,Genitourinary tract infection in pregnancy with p/n comp,
3029,L166500,Infections of kidney in pregnancy,
27980,L166700,Infections of the genital tract in pregnancy,
6649,L166800,Urinary tract infection complicating pregnancy,
15634,L166z00,Genitourinary tract infection in pregnancy NOS,
14644,L166z11,UTI - urinary tract infection in pregnancy,
18258,L167.00,Liver disorder in pregnancy,
62358,L167000,Liver disorder in pregnancy unspecified,
57419,L167100,Liver disorder in pregnancy - delivered,
54677,L167200,Liver disorder in pregnancy - not delivered,
36421,L167z00,Liver disorder in pregnancy NOS,
52583,L168.00,Fatigue during pregnancy,
64099,L168000,Fatigue during pregnancy unspecified,
68930,L168100,Fatigue during pregnancy - delivered,
99980,L168300,Fatigue during pregnancy - not delivered,
99956,L168400,Fatigue during pregnancy with postnatal complication,
73727,L168z00,Fatigue during pregnancy NOS,
7515,L169.00,Herpes gestationis,
69250,L169000,Herpes gestationis unspecified,
71876,L169200,Herpes gestationis - delivered with postnatal complication,
54082,L169300,Herpes gestationis - not delivered,
100157,L169400,Herpes gestationis with postnatal complication,
40703,L169z00,Herpes gestationis NOS,
5693,L16A.00,Glycosuria during pregnancy,
